county,date,quantile,hosp_census_with_covid,icu,Rt
Alameda,2023-06-01,0.5,,,0.9814769645755594
Alameda,2023-06-01,0.04999999999999999,,,NA
Alameda,2023-06-01,0.95,,,1.0412930181479914
Alameda,2023-06-08,0.5,,,0.9851091404867672
Alameda,2023-06-08,0.04999999999999999,,,NA
Alameda,2023-06-08,0.95,,,1.041649893446965
Alameda,2023-06-15,0.5,,,0.9945090225192504
Alameda,2023-06-15,0.04999999999999999,,,NA
Alameda,2023-06-15,0.95,,,1.0484473330422102
Alameda,2023-06-22,0.5,,,1.0087612944464497
Alameda,2023-06-22,0.04999999999999999,,,NA
Alameda,2023-06-22,0.95,,,1.0610556985071375
Alameda,2023-06-29,0.5,,,1.0232489690233546
Alameda,2023-06-29,0.04999999999999999,,,NA
Alameda,2023-06-29,0.95,,,1.0812280779573908
Alameda,2023-07-06,0.5,,,1.0291973317592626
Alameda,2023-07-06,0.04999999999999999,,,NA
Alameda,2023-07-06,0.95,,,1.089679091146491
Alameda,2023-07-13,0.5,,,1.0242461768948417
Alameda,2023-07-13,0.04999999999999999,,,NA
Alameda,2023-07-13,0.95,,,1.083572855519621
Alameda,2023-07-20,0.5,,,1.02818095018551
Alameda,2023-07-20,0.04999999999999999,,,NA
Alameda,2023-07-20,0.95,,,1.0898764194103532
Alameda,2023-07-27,0.5,,,1.033629732330987
Alameda,2023-07-27,0.04999999999999999,,,NA
Alameda,2023-07-27,0.95,,,1.094609197770532
Alameda,2023-08-03,0.5,,,1.0380548922864032
Alameda,2023-08-03,0.04999999999999999,,,NA
Alameda,2023-08-03,0.95,,,1.0961916032193704
Alameda,2023-08-10,0.5,,,1.0446253849784697
Alameda,2023-08-10,0.04999999999999999,,,NA
Alameda,2023-08-10,0.95,,,1.1023102402022456
Alameda,2023-08-17,0.5,,,1.0388357282608327
Alameda,2023-08-17,0.04999999999999999,,,NA
Alameda,2023-08-17,0.95,,,1.0990556168265335
Alameda,2023-08-24,0.5,,,1.017778741795464
Alameda,2023-08-24,0.04999999999999999,,,NA
Alameda,2023-08-24,0.95,,,1.073539942317434
Alameda,2023-08-31,0.5,,,0.9947011079432436
Alameda,2023-08-31,0.04999999999999999,,,NA
Alameda,2023-08-31,0.95,,,1.0518370572372453
